"날짜","Product ID","바코드","SKU ID","SKU 명","벤더아이템 ID","벤더아이템명","로켓프레시","상품카테고리","하위카테고리","세부카테고리","브랜드","매출액(GMV)","판매수량(Units Sold)","반품수량(Return Units)","매입원가(COGS)","AMV","쿠폰 할인가(쿠팡 추가 할인가 제외)","쿠팡 추가 할인가","즉시 할인가","프로모션발생매출액(GMV)","프로모션발생판매수량(Units Sold)","평균판매금액(ASP)","주문건수","주문 고객 수","객단가","구매전환율","PV","정기배송 매출액(SnS GMV)","정기배송 매입원가(SnS COGS)","정기배송 비중(SnS %)","정기배송 판매수량(SnS Units Sold)","정기배송 반품수량(Return Units)","상품평 수","평균 상품 평점"
"20260501","8983113712","8809487308027","12585217","보아르 아이워시 초음파 세척기 가정용 안경 시계","71358390317","보아르 아이워시 초음파 세척기 가정용 안경 시계,VUC-001BK","NO","CE","Health Appliance","틀니관리기","보아르","798400.00","16","-6","485376.00","738130.00","1000.00","52290","-5000.00","748500","15","49900.00","22","20","54890.00","5.09","432","0.00","0.00","0","0","0","1","1.0"
"20260501","2032552888","8809487307457","12673237","보아르 포스D14 셀프 스탠딩 무선 청소기, VCL-004WH, 화이트","71442523393","보아르 포스D14 무선 핸디스틱청소기,화이트,VCL-004WH","NO","CE","Living Appliance","핸디/스틱청소기","보아르","216000.00","2","0","135510.00","216000.00","0.00","0","0.00","0","0","108000.00","2","2","108000.00","2.78","72","0.00","0.00","0","0","0","0","0.0"
"20260501","2032761500","8809487308102","12674973","오아 클린이 소프트B 자동 압력센서 음파 전동 칫솔 화이트","71442967324","오아 클린이 소프트B 음파 전동칫솔,OOT-003WH,화이트,1개","NO","CE","Electric Toothbrush","전동칫솔","오아","174000.00","5","0","102970.00","174000.00","0.00","0","0.00","0","0","34800.00","5","5","34800.00","2.98","168","0.00","0.00","0","0","0","2","5.0"
"20260501","5882456550","8809487308102","12674973","오아 클린이 소프트B 자동 압력센서 음파 전동 칫솔 화이트","84635110192","오아 클린이 소프트B 자동 압력센서 음파 전동 칫솔 + 전용 리필 칫솔모 4p,OOT-003WH(화이트칫솔), VO-ET034(칫솔모),화이트,1세트","NO","CE","Electric Toothbrush","전동칫솔","오아","60064.00","2","0","41188.00","60064.00","0.00","0","0.00","0","0","30032.00","2","2","30032.00","11.76","17","0.00","0.00","0","0","0","0","0.0"
"20260501","2032761500","8809487308119","12674974","오아 클린이 소프트B 자동 압력센서 음파 전동 칫솔 블랙","71442967454","오아 클린이 소프트B 음파 전동칫솔,OOT-003BK,블랙,1개","NO","CE","Electric Toothbrush","전동칫솔","오아","69600.00","2","-1","41178.00","69600.00","0.00","0","0.00","0","0","34800.00","3","3","34800.00","4.62","65","0.00","0.00","0","0","0","1","5.0"
"20260501","5882456550","8809487308119","12674974","오아 클린이 소프트B 자동 압력센서 음파 전동 칫솔 블랙","84635110205","오아 클린이 소프트B 음파 전동칫솔 블랙 + 소프트 리필 칫솔모 4P 블랙세트,OOT-003BK(칫솔), VO-ET034(브러쉬),블랙, 블랙,1세트","NO","CE","Electric Toothbrush","전동칫솔","오아","60061.00","2","0","41178.00","60061.00","0.00","0","0.00","0","0","30030.50","2","2","30030.50","40.00","5","0.00","0.00","0","0","0","0","0.0"
"20260501","1929721801","8809487308089","12685386","오아 클린이퓨어 Air LED무선 칫솔 살균 건조기","71446889370","오아 클린이퓨어Air 칫솔살균기,OTS-002WH","NO","CE","Health Appliance","가정용칫솔살균기","오아","-29790.00","-1","-1","-21200.00","-29790.00","0.00","0","-900.00","0","0","0","0","0","0","0","48","0.00","0.00","0","0","0","0","0.0"
"20260501","2070424740","8809487307747","12757668","오아 디지털 LED 체중계 몸무게 전자 저울 측정기","71503985293","오아 LED 고정밀 디지털 체중계,단일상품,화이트,1개","NO","CE","Digital Scale","체중/신장계","오아","59400.00","3","0","36183.00","59400.00","0.00","0","0.00","0","0","19800.00","3","3","19800.00","6.25","48","0.00","0.00","0","0","0","0","0.0"
"20260501","2309199830","8809487308560","12775096","오아 클린이 소프트 음파 전동칫솔 2세트, VO-OC001(화이트,블랙)","71514554254","오아 클린이 소프트 음파 전동칫솔 세트,VO-OC001,화이트 + 블랙,2세트","NO","CE","Electric Toothbrush","전동칫솔","오아","208800.00","3","0","127311.00","193800.00","0.00","15000","0.00","208800","3","69600.00","3","3","69600.00","3.57","84","0.00","0.00","0","0","0","0","0.0"
"20260501","2309199830","8809487308546","12775097","오아 클린이 소프트 음파 전동칫솔 2세트, VO-OC001(블랙)","71514554594","오아 클린이 소프트 음파 전동칫솔,VO-OC001,블랙,2세트","NO","CE","Electric Toothbrush","전동칫솔","오아","69600.00","1","0","42724.00","64600.00","0.00","5000","0.00","69600","1","69600.00","1","1","69600.00","16.67","6","0.00","0.00","0","0","0","0","0.0"
"20260501","2309199830","8809487308553","12775098","BOX_오아 클린이 소프트 음파 전동칫솔 2세트, VO-OC001(화이트)","71514554887","오아 클린이 소프트 음파 전동칫솔 세트,VO-OC001,화이트,2세트","NO","CE","Electric Toothbrush","전동칫솔","오아","69600.00","1","0","42954.00","64600.00","0.00","5000","0.00","69600","1","69600.00","1","1","69600.00","6.67","15","0.00","0.00","0","0","0","0","0.0"
"20260501","2111955991","8809487308195","12846215","오아 클린이워터B 휴대용 무선 구강세정기","71573222313","오아 클린이워터B 구강세정기,OOR-006WH,화이트","NO","CE","Health Appliance","구강세척기","오아","9750900.00","245","-16","5939535.00","9462469.00","276431.00","0","-7960.00","955200","24","39800.00","258","254","40896.85","8.53","3024","0.00","0.00","0","0","0","14","4.9"
"20260501","2111956087","8809487308201","12846219","오아 클린이워터D 휴대용 LCD 무선 구강세정기","71573222414","오아 클린이워터D 구강세정기,OOR-007WH,화이트","NO","CE","Health Appliance","구강세척기","오아","175200.00","4","0","106852.00","175200.00","0.00","0","0.00","0","0","43800.00","4","4","43800.00","2.67","150","0.00","0.00","0","0","0","0","0.0"
"20260501","2176223537","8809487306979","13004238","오아 엠젯 대용량 자동습도조절 복합식 가습기 ","71688452685","오아 엠젯 대용량 자동습도조절 복합식 가습기,OA-HM044,다크그레이","NO","CE","Seasonal Appliance","가습기","오아","109000.00","1","0","65209.00","101370.00","0.00","7630","0.00","109000","1","109000.00","1","1","109000.00","2.63","38","0.00","0.00","0","0","0","1","5.0"
"20260501","2227858529","8809487308386","13099542","오아 센스C 미니 휴대용 초음파 탁상용 무선 가습기 150ml","71785369664","오아 센스C 미니 휴대용 초음파 탁상용 무선 가습기,OHM-058WH,단일 색상","NO","CE","Seasonal Appliance","가습기","오아","178000.00","10","-10","108440.00","178000.00","0.00","0","0.00","0","0","17800.00","2","1","356000.00","10.00","20","0.00","0.00","0","0","0","0","0.0"
